# Z‰hlrohrwinkel	Rate bei 35kV
# 2*theta/∞	R(35kV)/Imp/s
#
26.0	58.0
26.1	68.0
26.2	78.0
26.3	99.0
26.4	118.0
26.5	135.0
26.6	150.0
26.7	170.0
26.8	187.0
26.9	192.0
27.0	220.0
27.1	229.0
27.2	251.0
27.3	255.0
27.4	264.0
27.5	260.0
27.6	270.0
27.7	279.0
27.8	257.0
27.9	259.0
28.0	249.0
28.1	253.0
28.2	243.0
28.3	238.0
28.4	242.0
28.5	244.0
28.6	221.0
28.7	215.0
28.8	201.0
28.9	174.0
29.0	172.0
29.1	158.0
29.2	139.0
29.3	116.0
29.4	106.0
29.5	102.0
29.6	84.0
29.7	70.0
29.8	63.0
29.9	53.0
30.0	41.0
