# Kristallwinkel	Rate bei 35kV
# theta/∞	R(35kV)/Imp/s
# 
19.0	139.0
19.1	142.0
19.2	130.0
19.3	138.0
19.4	140.0
19.5	134.0
19.6	132.0
19.7	145.0
19.8	144.0
19.9	196.0
20.0	492.0
20.1	1377.0
20.2	1455.0
20.3	1462.0
20.4	1364.0
20.5	891.0
20.6	272.0
20.7	218.0
20.8	199.0
20.9	177.0
21.0	170.0
21.1	166.0
21.2	174.0
21.3	168.0
21.4	162.0
21.5	164.0
21.6	161.0
21.7	154.0
21.8	158.0
21.9	174.0
22.0	194.0
22.1	217.0
22.2	378.0
22.3	1245.0
22.4	4586.0
22.5	4737.0
22.6	4458.0
22.7	4245.0
22.8	3090.0
22.9	424.0
23.0	202.0
23.1	156.0
23.2	134.0
23.3	123.0
23.4	118.0
23.5	109.0
23.6	107.0
23.7	111.0
23.8	107.0
23.9	106.0
