# Z‰hlrohrwinkel	Rate bei 35kV
# 2*theta/∞	R(35kV)/Imp/s
# 
8.0	40.0
8.3	40.0
8.8	39.0
9.2	33.0
9.6	39.0
10.0	42.0
10.4	50.0
10.8	76.0
11.2	101.0
11.6	124.0
12.0	140.0
12.4	162.0
12.8	178.0
13.2	196.0
13.6	217.0
14.0	232.0
14.4	245.0
14.8	253.0
15.2	283.0
15.6	284.0
16.0	298.0
16.4	298.0
16.7	318.0
17.2	333.0
17.6	334.0
18.0	352.0
18.4	354.0
18.7	360.0
19.2	375.0
19.6	383.0
20.0	372.0
20.4	380.0
20.7	394.0
21.2	394.0
21.6	381.0
22.0	377.0
22.4	388.0
22.7	391.0
23.2	390.0
23.6	379.0
24.0	376.0
24.4	365.0
24.8	349.0
25.2	356.0
25.6	365.0
26.0	346.0
26.4	337.0
26.8	315.0
27.2	287.0
27.6	266.0
28.0	242.0
28.4	260.0
28.8	258.0
29.2	255.0
29.6	236.0
30.0	236.0
30.4	242.0
30.8	235.0
31.2	230.0
31.6	216.0
32.0	209.0
32.4	209.0
32.8	205.0
33.2	205.0
33.5	194.0
34.0	189.0
34.4	187.0
34.8	182.0
35.2	171.0
35.5	178.0
36.0	163.0
36.4	163.0
36.8	155.0
37.2	156.0
37.5	158.0
38.0	146.0
38.4	144.0
38.8	138.0
39.2	142.0
39.5	141.0
40.0	542.0
40.4	1467.0
40.8	1353.0
41.2	261.0
41.5	194.0
42.0	175.0
42.4	165.0
42.8	163.0
43.2	161.0
43.5	159.0
44.0	183.0
44.4	387.0
44.8	4595.0
45.2	4474.0
45.5	2900.0
46.0	193.0
46.4	137.0
46.8	127.0
47.2	113.0
47.5	106.0
48.0	103.0
48.4	0.0
48.8	93.0
49.2	82.0
49.6	83.0
50.0	69.0
50.4	80.0
50.8	74.0
51.2	71.0
51.6	67.0
52.0	71.0
