# t/ms U/kV y_err/kV
0.000000000000000000e+00 2.468315081189308702e-01 3.909965337798982365e-01
1.256637061435917357e-01 -3.100579610422951049e-01 2.987952205754670354e-01
2.513274122871834715e-01 1.120453058434576488e-01 4.274535032540041080e-01
3.769911184307752072e-01 1.592699758227959506e-01 4.440193853868791285e-01
5.026548245743669430e-01 3.226579216616651258e-01 2.490237419836980604e-01
6.283185307179586232e-01 5.097740574712338324e-01 2.835304082649507951e-01
7.539822368615504145e-01 1.248747958108512357e+00 3.774066901087603787e-01
8.796459430051422057e-01 4.715139062069174103e-01 3.453321683056777558e-01
1.005309649148733886e+00 1.199342687191734536e+00 3.666453556524054136e-01
1.130973355292325566e+00 3.828377851556645783e-01 3.101780518697936917e-01
1.256637061435917246e+00 8.041690330167233780e-01 4.386206313392677081e-01
1.382300767579509149e+00 1.052238076150282087e+00 4.297972844717988239e-01
1.507964473723100829e+00 1.216552785592885932e+00 3.727699295554238179e-01
1.633628179866692509e+00 1.325838408723120088e+00 4.609103337930983701e-01
1.759291886010284411e+00 1.302748983164423446e+00 4.039362818917215381e-01
1.884955592153876092e+00 8.430247452096389926e-01 3.097906622800865040e-01
2.010619298297467772e+00 7.217190393877082055e-01 3.960361265672756592e-01
2.136283004441059674e+00 1.104879146741532203e+00 3.036812886368591702e-01
2.261946710584651132e+00 6.866191213733234822e-01 4.385375053824953073e-01
2.387610416728243035e+00 2.199110501547866803e-01 3.642243765365056896e-01
2.513274122871834493e+00 1.860050193649735450e-01 3.545263971594280195e-01
2.638937829015426395e+00 1.865716365202541027e-01 3.210411699177000977e-01
2.764601535159018297e+00 6.016805043784871909e-01 4.697795521614074876e-01
2.890265241302609756e+00 2.994908250676212580e-01 3.566836956882356025e-01
3.015928947446201658e+00 3.584942325161454280e-01 3.376769653088942391e-01
3.141592653589793560e+00 -1.464887752051964864e-01 3.428621834440582772e-01
3.267256359733385018e+00 -6.045794328172178489e-02 4.092053531956904577e-01
3.392920065876976921e+00 -1.097288743247243348e-03 3.957742970627119994e-01
3.518583772020568823e+00 -4.917193756295507590e-01 3.995351719681333180e-01
3.644247478164160281e+00 -2.985944871131543943e-01 4.009831793159320812e-01
3.769911184307752183e+00 -9.614964118365700863e-01 5.645815284741450002e-01
3.895574890451343641e+00 -8.076804858722804736e-01 3.391601028568692611e-01
4.021238596594935544e+00 -8.972719943355251804e-01 3.320570306292167095e-01
4.146902302738527446e+00 -1.218175927963880190e+00 3.126238570872242328e-01
4.272566008882119348e+00 -7.021926264725777411e-01 4.161106304540107548e-01
4.398229715025710362e+00 -1.167483823477175831e+00 4.610699364825332491e-01
4.523893421169302265e+00 -9.777944847621385938e-01 3.595904652797972112e-01
4.649557127312894167e+00 -8.485248228191916153e-01 3.109785639474204610e-01
4.775220833456486069e+00 -8.587290829836797812e-01 3.119550278282262612e-01
4.900884539600077971e+00 -7.034900769234868623e-01 4.190012220676317956e-01
5.026548245743668986e+00 -9.930939292400555729e-01 4.268386671832799517e-01
5.152211951887260888e+00 -1.078419103737052298e+00 4.100938896560625269e-01
5.277875658030852790e+00 -8.699998024720658751e-01 3.220327786858321328e-01
5.403539364174444692e+00 -1.420750670318652542e+00 3.853636922572502010e-01
5.529203070318036595e+00 -1.229479976298764932e+00 3.765656649048330640e-01
5.654866776461628497e+00 -1.096134042718371671e+00 3.843267100691437066e-01
5.780530482605219511e+00 -9.184700963969152365e-01 4.379220973262598626e-01
5.906194188748811413e+00 -2.143297806811414463e-01 3.847040697546805221e-01
6.031857894892403316e+00 -6.302417779273644660e-01 4.213812439988323111e-01
6.157521601035995218e+00 -2.663445230178129730e-01 3.728853847301373259e-01
6.283185307179586232e+00 5.064115252936308709e-01 3.897787064494944165e-01
